Economy,Code,Region,Income group,Lending category,Other (EMU or HIPC)
Aruba,ABW,Latin America & Caribbean,High income,,
Afghanistan,AFG,South Asia,Low income,IDA,HIPC
Angola,AGO,Sub-Saharan Africa,Lower middle income,IBRD,
Albania,ALB,Europe & Central Asia,Upper middle income,IBRD,
Andorra,AND,Europe & Central Asia,High income,,
United Arab Emirates,ARE,Middle East & North Africa,High income,,
Argentina,ARG,Latin America & Caribbean,Upper middle income,IBRD,
Armenia,ARM,Europe & Central Asia,Upper middle income,IBRD,
American Samoa,ASM,East Asia & Pacific,Upper middle income,,
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,IBRD,
Australia,AUS,East Asia & Pacific,High income,,
Austria,AUT,Europe & Central Asia,High income,,EMU
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,IBRD,
Burundi,BDI,Sub-Saharan Africa,Low income,IDA,HIPC
Belgium,BEL,Europe & Central Asia,High income,,EMU
Benin,BEN,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Burkina Faso,BFA,Sub-Saharan Africa,Low income,IDA,HIPC
Bangladesh,BGD,South Asia,Lower middle income,IDA,
Bulgaria,BGR,Europe & Central Asia,Upper middle income,IBRD,
Bahrain,BHR,Middle East & North Africa,High income,,
"Bahamas, The",BHS,Latin America & Caribbean,High income,,
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,IBRD,
Belarus,BLR,Europe & Central Asia,Upper middle income,IBRD,
Belize,BLZ,Latin America & Caribbean,Lower middle income,IBRD,
Bermuda,BMU,North America,High income,,
Bolivia,BOL,Latin America & Caribbean,Lower middle income,IBRD,HIPC
Brazil,BRA,Latin America & Caribbean,Upper middle income,IBRD,
Barbados,BRB,Latin America & Caribbean,High income,,
Brunei Darussalam,BRN,East Asia & Pacific,High income,,
Bhutan,BTN,South Asia,Lower middle income,IDA,
Botswana,BWA,Sub-Saharan Africa,Upper middle income,IBRD,
Central African Republic,CAF,Sub-Saharan Africa,Low income,IDA,HIPC
Canada,CAN,North America,High income,,
Switzerland,CHE,Europe & Central Asia,High income,,
Channel Islands,CHI,Europe & Central Asia,High income,,
Chile,CHL,Latin America & Caribbean,High income,IBRD,
China,CHN,East Asia & Pacific,Upper middle income,IBRD,
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,Blend,HIPC
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,IDA,HIPC
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,Blend,HIPC
Colombia,COL,Latin America & Caribbean,Upper middle income,IBRD,
Comoros,COM,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,Blend,
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,IBRD,
Cuba,CUB,Latin America & Caribbean,Upper middle income,,
Curaçao,CUW,Latin America & Caribbean,High income,,
Cayman Islands,CYM,Latin America & Caribbean,High income,,
Cyprus,CYP,Europe & Central Asia,High income,,EMU
Czech Republic,CZE,Europe & Central Asia,High income,,
Germany,DEU,Europe & Central Asia,High income,,EMU
Djibouti,DJI,Middle East & North Africa,Lower middle income,IDA,
Dominica,DMA,Latin America & Caribbean,Upper middle income,Blend,
Denmark,DNK,Europe & Central Asia,High income,,
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,IBRD,
Algeria,DZA,Middle East & North Africa,Lower middle income,IBRD,
Ecuador,ECU,Latin America & Caribbean,Upper middle income,IBRD,
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,IBRD,
Eritrea,ERI,Sub-Saharan Africa,Low income,IDA,HIPC
Spain,ESP,Europe & Central Asia,High income,,EMU
Estonia,EST,Europe & Central Asia,High income,,EMU
Ethiopia,ETH,Sub-Saharan Africa,Low income,IDA,HIPC
Finland,FIN,Europe & Central Asia,High income,,EMU
Fiji,FJI,East Asia & Pacific,Upper middle income,Blend,
France,FRA,Europe & Central Asia,High income,,EMU
Faroe Islands,FRO,Europe & Central Asia,High income,,
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,IDA,
Gabon,GAB,Sub-Saharan Africa,Upper middle income,IBRD,
United Kingdom,GBR,Europe & Central Asia,High income,,
Georgia,GEO,Europe & Central Asia,Upper middle income,IBRD,
Ghana,GHA,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Gibraltar,GIB,Europe & Central Asia,High income,,
Guinea,GIN,Sub-Saharan Africa,Low income,IDA,HIPC
"Gambia, The",GMB,Sub-Saharan Africa,Low income,IDA,HIPC
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,IDA,HIPC
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,IBRD,
Greece,GRC,Europe & Central Asia,High income,,EMU
Grenada,GRD,Latin America & Caribbean,Upper middle income,Blend,
Greenland,GRL,Europe & Central Asia,High income,,
Guatemala,GTM,Latin America & Caribbean,Upper middle income,IBRD,
Guam,GUM,East Asia & Pacific,High income,,
Guyana,GUY,Latin America & Caribbean,Upper middle income,IDA,HIPC
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,,
Honduras,HND,Latin America & Caribbean,Lower middle income,IDA,HIPC
Croatia,HRV,Europe & Central Asia,High income,IBRD,
Haiti,HTI,Latin America & Caribbean,Lower middle income,IDA,HIPC
Hungary,HUN,Europe & Central Asia,High income,,
Indonesia,IDN,East Asia & Pacific,Lower middle income,IBRD,
Isle of Man,IMN,Europe & Central Asia,High income,,
India,IND,South Asia,Lower middle income,IBRD,
Ireland,IRL,Europe & Central Asia,High income,,EMU
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Lower middle income,IBRD,
Iraq,IRQ,Middle East & North Africa,Upper middle income,IBRD,
Iceland,ISL,Europe & Central Asia,High income,,
Israel,ISR,Middle East & North Africa,High income,,
Italy,ITA,Europe & Central Asia,High income,,EMU
Jamaica,JAM,Latin America & Caribbean,Upper middle income,IBRD,
Jordan,JOR,Middle East & North Africa,Upper middle income,IBRD,
Japan,JPN,East Asia & Pacific,High income,,
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,IBRD,
Kenya,KEN,Sub-Saharan Africa,Lower middle income,Blend,
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,IDA,
Cambodia,KHM,East Asia & Pacific,Lower middle income,IDA,
Kiribati,KIR,East Asia & Pacific,Lower middle income,IDA,
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,IBRD,
"Korea, Rep.",KOR,East Asia & Pacific,High income,,
Kuwait,KWT,Middle East & North Africa,High income,,
Lao PDR,LAO,East Asia & Pacific,Lower middle income,IDA,
Lebanon,LBN,Middle East & North Africa,Upper middle income,IBRD,
Liberia,LBR,Sub-Saharan Africa,Low income,IDA,HIPC
Libya,LBY,Middle East & North Africa,Upper middle income,IBRD,
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,Blend,
Liechtenstein,LIE,Europe & Central Asia,High income,,
Sri Lanka,LKA,South Asia,Lower middle income,IBRD,
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,IDA,
Lithuania,LTU,Europe & Central Asia,High income,,EMU
Luxembourg,LUX,Europe & Central Asia,High income,,EMU
Latvia,LVA,Europe & Central Asia,High income,,EMU
"Macao SAR, China",MAC,East Asia & Pacific,High income,,
St. Martin (French part),MAF,Latin America & Caribbean,High income,,
Morocco,MAR,Middle East & North Africa,Lower middle income,IBRD,
Monaco,MCO,Europe & Central Asia,High income,,
Moldova,MDA,Europe & Central Asia,Upper middle income,IBRD,
Madagascar,MDG,Sub-Saharan Africa,Low income,IDA,HIPC
Maldives,MDV,South Asia,Upper middle income,IDA,
Mexico,MEX,Latin America & Caribbean,Upper middle income,IBRD,
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,IDA,
North Macedonia,MKD,Europe & Central Asia,Upper middle income,IBRD,
Mali,MLI,Sub-Saharan Africa,Low income,IDA,HIPC
Malta,MLT,Middle East & North Africa,High income,,EMU
Myanmar,MMR,East Asia & Pacific,Lower middle income,IDA,
Montenegro,MNE,Europe & Central Asia,Upper middle income,IBRD,
Mongolia,MNG,East Asia & Pacific,Lower middle income,IBRD,
Northern Mariana Islands,MNP,East Asia & Pacific,High income,,
Mozambique,MOZ,Sub-Saharan Africa,Low income,IDA,HIPC
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,IBRD,
Malawi,MWI,Sub-Saharan Africa,Low income,IDA,HIPC
Malaysia,MYS,East Asia & Pacific,Upper middle income,IBRD,
Namibia,NAM,Sub-Saharan Africa,Upper middle income,IBRD,
New Caledonia,NCL,East Asia & Pacific,High income,,
Niger,NER,Sub-Saharan Africa,Low income,IDA,HIPC
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,Blend,
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,IDA,HIPC
Netherlands,NLD,Europe & Central Asia,High income,,EMU
Norway,NOR,Europe & Central Asia,High income,,
Nepal,NPL,South Asia,Lower middle income,IDA,
Nauru,NRU,East Asia & Pacific,High income,IBRD,
New Zealand,NZL,East Asia & Pacific,High income,,
Oman,OMN,Middle East & North Africa,High income,,
Pakistan,PAK,South Asia,Lower middle income,Blend,
Panama,PAN,Latin America & Caribbean,Upper middle income,IBRD,
Peru,PER,Latin America & Caribbean,Upper middle income,IBRD,
Philippines,PHL,East Asia & Pacific,Lower middle income,IBRD,
Palau,PLW,East Asia & Pacific,High income,IBRD,
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,Blend,
Poland,POL,Europe & Central Asia,High income,IBRD,
Puerto Rico,PRI,Latin America & Caribbean,High income,,
"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,Low income,,
Portugal,PRT,Europe & Central Asia,High income,,EMU
Paraguay,PRY,Latin America & Caribbean,Upper middle income,IBRD,
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,,
French Polynesia,PYF,East Asia & Pacific,High income,,
Qatar,QAT,Middle East & North Africa,High income,,
Romania,ROU,Europe & Central Asia,Upper middle income,IBRD,
Russian Federation,RUS,Europe & Central Asia,Upper middle income,IBRD,
Rwanda,RWA,Sub-Saharan Africa,Low income,IDA,HIPC
Saudi Arabia,SAU,Middle East & North Africa,High income,,
Sudan,SDN,Sub-Saharan Africa,Low income,IDA,HIPC
Senegal,SEN,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Singapore,SGP,East Asia & Pacific,High income,,
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,IDA,
Sierra Leone,SLE,Sub-Saharan Africa,Low income,IDA,HIPC
El Salvador,SLV,Latin America & Caribbean,Lower middle income,IBRD,
San Marino,SMR,Europe & Central Asia,High income,,
Somalia,SOM,Sub-Saharan Africa,Low income,IDA,HIPC
Serbia,SRB,Europe & Central Asia,Upper middle income,IBRD,
South Sudan,SSD,Sub-Saharan Africa,Low income,IDA,
São Tomé and Principe,STP,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Suriname,SUR,Latin America & Caribbean,Upper middle income,IBRD,
Slovak Republic,SVK,Europe & Central Asia,High income,,EMU
Slovenia,SVN,Europe & Central Asia,High income,,EMU
Sweden,SWE,Europe & Central Asia,High income,,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,IBRD,
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,,
Seychelles,SYC,Sub-Saharan Africa,High income,IBRD,
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,IDA,
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,,
Chad,TCD,Sub-Saharan Africa,Low income,IDA,HIPC
Togo,TGO,Sub-Saharan Africa,Low income,IDA,HIPC
Thailand,THA,East Asia & Pacific,Upper middle income,IBRD,
Tajikistan,TJK,Europe & Central Asia,Lower middle income,IDA,
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,IBRD,
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,Blend,
Tonga,TON,East Asia & Pacific,Upper middle income,IDA,
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,IBRD,
Tunisia,TUN,Middle East & North Africa,Lower middle income,IBRD,
Turkey,TUR,Europe & Central Asia,Upper middle income,IBRD,
Tuvalu,TUV,East Asia & Pacific,Upper middle income,IDA,
"Taiwan, China",TWN,East Asia & Pacific,High income,,
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Uganda,UGA,Sub-Saharan Africa,Low income,IDA,HIPC
Ukraine,UKR,Europe & Central Asia,Lower middle income,IBRD,
Uruguay,URY,Latin America & Caribbean,High income,IBRD,
United States,USA,North America,High income,,
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,Blend,
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,Blend,
"Venezuela, RB",VEN,Latin America & Caribbean,,IBRD,
British Virgin Islands,VGB,Latin America & Caribbean,High income,,
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,,
Vietnam,VNM,East Asia & Pacific,Lower middle income,IBRD,
Vanuatu,VUT,East Asia & Pacific,Lower middle income,IDA,
Samoa,WSM,East Asia & Pacific,Lower middle income,IDA,
Kosovo,XKX,Europe & Central Asia,Upper middle income,IDA,
"Yemen, Rep.",YEM,Middle East & North Africa,Low income,IDA,
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,IBRD,
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,Blend,
,,,,,
Arab World,ARB,,,,
Caribbean small states,CSS,,,,
Central Europe and the Baltics,CEB,,,,
Early-demographic dividend,EAR,,,,
East Asia & Pacific,EAS,,,,
East Asia & Pacific (excluding high income),EAP,,,,
East Asia & Pacific (IDA & IBRD),TEA,,,,
Euro area,EMU,,,,
Europe & Central Asia,ECS,,,,
Europe & Central Asia (excluding high income),ECA,,,,
Europe & Central Asia (IDA & IBRD),TEC,,,,
European Union,EUU,,,,
Fragile and conflict affected situations,FCS,,,,
Heavily indebted poor countries (HIPC),HPC,,,,
High income,HIC,,,,
IBRD only,IBD,,,,
IDA & IBRD total,IBT,,,,
IDA blend,IDB,,,,
IDA only,IDX,,,,
IDA total,IDA,,,,
Late-demographic dividend,LTE,,,,
Latin America & Caribbean,LCN,,,,
Latin America & Caribbean (excluding high income),LAC,,,,
Latin America & Caribbean (IDA & IBRD),TLA,,,,
Least developed countries: UN classification,LDC,,,,
Low & middle income,LMY,,,,
Low income,LIC,,,,
Lower middle income,LMC,,,,
Middle East & North Africa,MEA,,,,
Middle East & North Africa (excluding high income),MNA,,,,
Middle East & North Africa (IDA & IBRD),TMN,,,,
Middle income,MIC,,,,
North America,NAC,,,,
OECD members,OED,,,,
Other small states,OSS,,,,
Pacific island small states,PSS,,,,
Post-demographic dividend,PST,,,,
Pre-demographic dividend,PRE,,,,
Small states,SST,,,,
South Asia,SAS,,,,
South Asia (IDA & IBRD),TSA,,,,
Sub-Saharan Africa,SSF,,,,
Sub-Saharan Africa (excluding high income),SSA,,,,
Sub-Saharan Africa (IDA & IBRD),TSS,,,,
Upper middle income,UMC,,,,
World,WLD,,,,
